section,date,value,lower,upper,label,unrate,tdsp,predicted_delinquency,delta_vs_base,series,rolling_mean,score
forecast,2026-04-01,2.9049,2.6788,3.131,,,,,,,,
forecast,2026-07-01,2.8945,2.4935,3.2955,,,,,,,,
forecast,2026-10-01,2.8873,2.3181,3.4565,,,,,,,,
forecast,2027-01-01,2.8823,2.1542,3.6104,,,,,,,,
scenario,,,,,+0pp unemployment,4.33,11.16,2.3149,0.0,,,
scenario,,,,,+1pp unemployment,5.33,11.16,2.4545,0.1396,,,
scenario,,,,,+2pp unemployment,6.33,11.16,2.5941,0.2792,,,
scenario,,,,,+3pp unemployment,7.33,11.16,2.7337,0.4188,,,
anomaly,2025-01-01,18367.0,,,,,,,,Checking or savings account,5596.2,3.162
anomaly,2023-01-01,6395.0,,,,,,,,Checking or savings account,3418.1,3.079
anomaly,2021-03-01,6740.0,,,,,,,,Debt collection,4915.1,2.912
anomaly,2024-03-01,12354.0,,,,,,,,Debt collection,6582.6,2.788
anomaly,2024-02-01,8772.0,,,,,,,,Debt collection,6077.8,2.711
anomaly,2025-01-01,475783.0,,,,,,,,ALL PRODUCTS (total),255557.1,2.607
anomaly,2024-01-01,7176.0,,,,,,,,Debt collection,5784.3,2.556
anomaly,2025-01-01,23830.0,,,,,,,,Debt collection,14379.1,2.457
anomaly,2022-04-01,54426.0,,,,,,,,"Credit reporting, credit repair services, or other personal consumer reports",32236.4,2.393
anomaly,2025-01-01,9073.0,,,,,,,,Credit card,6651.2,2.375
